s.entity_en,type(r),t.entity_en
Type 2,CLASS_DISEASE,Type 2 diabetes
Type 2,CLASS_DISEASE,Pre-pregnancy type 2 diabetes
Type 2,CLASS_DISEASE,Patients with multiple endocrine neoplasia type 2 (MEN2)
Type 2,CLASS_DISEASE,Type 2 diabetes
Type 2,CLASS_DISEASE,Type 2 diabetes mellitus (T2DM)
Type 2,CLASS_DISEASE,Multiple endocrine neoplasia syndrome type 2
Type 2,CLASS_DISEASE,Type 2 diabetes mellitus (T2DM)
Type 2,CLASS_DISEASE,Type 2 diabetes
Type 2,CLASS_DISEASE,Type 2 diabetes mellitus (T2DM)
Type 2,CLASS_DISEASE,Type 2 diabetes mellitus (T2DM)
Type 2,CLASS_DISEASE,Patients with type 2 diabetes
Type 2,CLASS_DISEASE,Type 2 diabetes mellitus
Type 2,CLASS_DISEASE,Type 2 and type 1 diabetes
Type 2,CLASS_DISEASE,Type 2 diabetic nephropathy
Type 2,CLASS_DISEASE,Type 2 diabetic nephropathy
Type 2,CLASS_DISEASE,Type 1 and type 2 diabetes
Type 2,CLASS_DISEASE,Type 2 DM
Insulin secretagogues,DRUG_DISEASE,Type 2 diabetes
Insulin secretagogues,DRUG_DISEASE,diabetes
Insulin secretagogues,DRUG_DISEASE,Hypoglycemia
Insulin secretagogues,DRUG_DISEASE,Moderate renal insufficiency
Insulin secretagogues,DRUG_DISEASE,Renal insufficiency
Insulin secretagogues,DRUG_DISEASE,T2DM
HbA1c,TEST_ITEMS_DISEASE,Type 2 diabetes
HbA1c,TEST_ITEMS_DISEASE,diabetes
HbA1c,TEST_ITEMS_DISEASE,obesity
HbA1c,TEST_ITEMS_DISEASE,overweight
HbA1c,TEST_ITEMS_DISEASE,Infect
HbA1c,TEST_ITEMS_DISEASE,Hypoglycemia
HbA1c,TEST_ITEMS_DISEASE,Type 1 diabetes
HbA1c,TEST_ITEMS_DISEASE,Renal insufficiency
HbA1c,TEST_ITEMS_DISEASE,Malignant tumors
HbA1c,TEST_ITEMS_DISEASE,End-stage renal disease
HbA1c,TEST_ITEMS_DISEASE,Type 2 diabetes
HbA1c,TEST_ITEMS_DISEASE,CVD
HbA1c,TEST_ITEMS_DISEASE,T2DM
HbA1c,TEST_ITEMS_DISEASE,CKD
HbA1c,TEST_ITEMS_DISEASE,GDM
HbA1c,TEST_ITEMS_DISEASE,Macrovascular events
HbA1c,TEST_ITEMS_DISEASE,Cardiovascular events
HbA1c,TEST_ITEMS_DISEASE,High blood sugar
HbA1c,TEST_ITEMS_DISEASE,Stress-induced hyperglycemia
HbA1c,TEST_ITEMS_DISEASE,Cognitive dysfunction
HbA1c,TEST_ITEMS_DISEASE,Heart function level Ⅲ-IV
HbA1c,TEST_ITEMS_DISEASE,Malignant tumor with metastasis
HbA1c,TEST_ITEMS_DISEASE,Moderate to severe cognitive impairment
HbA1c,TEST_ITEMS_DISEASE,Acute complications of diabetes
HbA1c,TEST_ITEMS_DISEASE,Mental or intellectual disability
HbA1c,TEST_ITEMS_DISEASE,DR
HbA1c,TEST_ITEMS_DISEASE,Acute metabolic disturbances
HbA1c,TEST_ITEMS_DISEASE,Pre-gestational diabetes
HbA1c,TEST_ITEMS_DISEASE,Visual impairment
HbA1c,TEST_ITEMS_DISEASE,Chronic kidney disease
HbA1c,TEST_ITEMS_DISEASE,Chronic complications of diabetes
HbA1c,TEST_ITEMS_DISEASE,Chronic complications of diabetes
HbA1c,TEST_ITEMS_DISEASE,Patients with type 2 diabetes
HbA1c,TEST_ITEMS_DISEASE,Cerebral infarction
HbA1c,TEST_ITEMS_DISEASE,Type 2 and type 1 diabetes
HbA1c,TEST_ITEMS_DISEASE,Refractory infection
HbA1c,TEST_ITEMS_DISEASE,Chronic renal insufficiency
HbA1c,TEST_ITEMS_DISEASE,Heart function NYHA class Ⅲ-Ⅳ
HbA1c,TEST_ITEMS_DISEASE,Moderate to severe chronic kidney disease
The decline in insulin secretion function of β cells is more obvious than the decline in insulin sensitivity,PATHOGENESIS_DISEASE,Type 2 diabetes
kidney,ANATOMY_DISEASE,Diabetic nephropathy
kidney,ANATOMY_DISEASE,Kidney disease
kidney,ANATOMY_DISEASE,Severe liver or kidney damage
kidney,ANATOMY_DISEASE,Liver and kidney dysfunction
kidney,ANATOMY_DISEASE,Moderate renal insufficiency
kidney,ANATOMY_DISEASE,Renal insufficiency
kidney,ANATOMY_DISEASE,End-stage renal disease
kidney,ANATOMY_DISEASE,Severe renal insufficiency
kidney,ANATOMY_DISEASE,Moderate to severe renal insufficiency
kidney,ANATOMY_DISEASE,Impaired renal function
kidney,ANATOMY_DISEASE,Renal function
kidney,ANATOMY_DISEASE,End-stage renal failure
kidney,ANATOMY_DISEASE,Kidney damage
kidney,ANATOMY_DISEASE,Abnormal renal function
kidney,ANATOMY_DISEASE,Renal impairment
kidney,ANATOMY_DISEASE,"Elderly, severe liver and kidney disease"
kidney,ANATOMY_DISEASE,Decreased liver and kidney function
kidney,ANATOMY_DISEASE,Acute kidney injury
kidney,ANATOMY_DISEASE,Moderate (grade 3b) and severe renal failure
kidney,ANATOMY_DISEASE,"Liver, kidney, heart and lung dysfunction"
kidney,ANATOMY_DISEASE,Renal failure
kidney,ANATOMY_DISEASE,Hepatic or renal impairment
kidney,ANATOMY_DISEASE,Chronic kidney disease
kidney,ANATOMY_DISEASE,Renal function decline
kidney,ANATOMY_DISEASE,Liver and kidney dysfunction
kidney,ANATOMY_DISEASE,Kidney damage
kidney,ANATOMY_DISEASE,Kidney failure
kidney,ANATOMY_DISEASE,Chronic Kidney Disease (CKD)
kidney,ANATOMY_DISEASE,End stage renal disease (ESRD)
kidney,ANATOMY_DISEASE,IgA nephropathy
kidney,ANATOMY_DISEASE,HUA
kidney,ANATOMY_DISEASE,Renal or hepatic impairment
kidney,ANATOMY_DISEASE,Kidney stones
kidney,ANATOMY_DISEASE,Abnormal liver and kidney function
kidney,ANATOMY_DISEASE,Diabetic kidney disease (DKD)
kidney,ANATOMY_DISEASE,Acute and chronic renal failure
kidney,ANATOMY_DISEASE,Chronic kidney disease
kidney,ANATOMY_DISEASE,Kidney stones
kidney,ANATOMY_DISEASE,Uric acid kidney stones
kidney,ANATOMY_DISEASE,Renal impairment ≥ G2
kidney,ANATOMY_DISEASE,Chronic renal failure
kidney,ANATOMY_DISEASE,Diabetic kidney damage
kidney,ANATOMY_DISEASE,Nephrotic syndrome
kidney,ANATOMY_DISEASE,"Normal, mild, moderate, severe, and extremely severe renal impairment"
kidney,ANATOMY_DISEASE,Chronic renal insufficiency
kidney,ANATOMY_DISEASE,Uric acid nephropathy
kidney,ANATOMY_DISEASE,Kidney Nephropathy
kidney,ANATOMY_DISEASE,Acute uric acid nephropathy
kidney,ANATOMY_DISEASE,Chronic urate nephropathy
kidney,ANATOMY_DISEASE,Nephrolithiasis
kidney,ANATOMY_DISEASE,Acute and chronic uric acid (salt) nephropathy
kidney,ANATOMY_DISEASE,Moderate to severe renal insufficiency
kidney,ANATOMY_DISEASE,Mild to moderate renal insufficiency
kidney,ANATOMY_DISEASE,Severe renal insufficiency
kidney,ANATOMY_DISEASE,Mild to moderate renal dysfunction
kidney,ANATOMY_DISEASE,Uric acid nephrolithiasis
kidney,ANATOMY_DISEASE,Renal impairment
kidney,ANATOMY_DISEASE,Tubulointerstitial nephritis
kidney,ANATOMY_DISEASE,Acute uric acid nephropathy
kidney,ANATOMY_DISEASE,Hydronephrosis
kidney,ANATOMY_DISEASE,Complicated kidney stones
kidney,ANATOMY_DISEASE,Renal insufficiency
kidney,ANATOMY_DISEASE,Contrast-induced acute kidney injury
kidney,ANATOMY_DISEASE,Idiopathic renal insufficiency
kidney,ANATOMY_DISEASE,Polycystic kidney disease
